宣城市言午氏药店桃州路店,地址：安徽省宣城市广德县桃州镇桃州南路东B1-2号,电话：0563-6026508,
滁州市百姓缘药品零售连锁有限公司珠龙店,地址：安徽省滁州市南谯区清流社区珠扬路60-1号,电话：0550-3010268,
滁州市百姓缘药品零售连锁有限公司裕坤丽晶店,地址：安徽省滁州市南谯南路788号裕坤丽晶城23幢806室,电话：0550-3057627,
滁州市百姓缘药品零售连锁有限公司铜欣花园店,地址：安徽省滁州市铜矿南村二区31幢104-105室,电话：0550-3057050,
滁州市百姓缘药品零售连锁有限公司天安小区店,地址：安徽省滁州市全椒路118号商铺118室,电话：0550-3075289,
滁州市百姓缘药品零售连锁有限公司古马路店,地址：安徽省滁州市琅琊区丰乐大道金色河畔商业单元81-5、81-6室,电话：0550-3704087,
滁州市百姓缘药品零售连锁有限公司菱溪苑店,地址：安徽省滁州市菱溪北路368号菱溪苑小区大门南侧1-2间,电话：0550-3034993,
滁州市百姓缘药品零售连锁有限公司北湖店,地址：安徽省滁州市南谯北路183号,电话：0550-3787135,
滁州市百姓缘药品零售连锁有限公司龙蟠北苑店,地址：安徽省滁州市龙蟠大道与草塘路交叉口,电话：0550-3122857,
滁州市百姓缘药品零售连锁有限公司凤凰小区店,地址：安徽省滁州市凤凰三村门市部22号,电话：0550-3316281,
滁州市百姓缘药品零售连锁有限公司天乐小区店,地址：安徽省滁州市天乐南区9#楼底层2-3号,电话：0550-3788179,
滁州市百姓缘药品零售连锁有限公司清流路店,地址：安徽省滁州市中都大道14、16号商业门面,电话：0550-3316283,
滁州市百姓缘药品零售连锁有限公司荣康店,地址：安徽省滁州市凤阳路258号,电话：0550-3052265,
滁州市百姓缘药品零售连锁有限公司天长东路店,地址：安徽省滁州市天长东路178号东源大厦1楼,电话：0550-3514820,
滁州市百姓缘药品零售连锁有限公司二纺机店,地址：安徽省滁州市二纺机9号楼营业房,电话：0550-3567907,
滁州市百姓缘药品零售连锁有限公司龙蟠店,地址：安徽省滁州市龙蟠小区1号楼地块商业楼叁标一层门面,电话：0550-3567871,
滁州市百姓缘药品零售连锁有限公司山水人家店,地址：安徽省滁州市丰乐南路86号,电话：0550-3536121,
滁州市百姓缘药品零售连锁有限公司城东店,地址：安徽省滁州市清流路896号,电话：0550-3057695,
滁州市百姓缘药品零售连锁有限公司凤阳一店,地址：安徽省滁州市凤阳县府北商贸城F4层101-102,电话：0550-6730389,
滁州市百姓缘药品零售连锁有限公司丰乐大道店,地址：安徽省滁州市丰乐大道678号,电话：0550-3044182,
滁州市百姓缘药品零售连锁有限公司来安北大街药店,地址：安徽省滁州市来安县来安北大街60号,电话：0550-5611200,
滁州市百姓缘药品零售连锁有限公司卫校店,地址：安徽省滁州市琅琊西路21号,电话：0550-3021244,
滁州市百姓缘药品零售连锁有限公司湖心路店,地址：安徽省滁州市凤阳路491号,电话：0550-3072062,
滁州市百姓缘药品零售连锁有限公司银花店,地址：安徽省滁州市湖心路89-95号,电话：0550-3074596,
滁州市百姓缘药品零售连锁有限公司紫薇店,地址：安徽省滁州市凤凰西路320号,电话：0550-3072629,
滁州市百姓缘药品零售连锁有限公司三里亭店,地址：安徽省滁州市瑞景颐园188号,电话：0550-3034975,
滁州市百姓缘药品零售连锁有限公司明光一店,地址：安徽省滁州市明光市车站路21号,电话：0550-8029108,
滁州市百姓缘药品零售连锁有限公司中信店,地址：安徽省滁州市南谯北路409号,电话：0550-3111063,
滁州市百姓缘药品零售连锁有限公司民泰店,地址：安徽省滁州市明光路298号,电话：0550-3023311,
滁州市百姓缘药品零售连锁有限公司定远一店,地址：安徽省滁州市定远县曲阳路商业步行街1号综合楼A112-A113、B101,电话：0550-4030966,
安徽国大药房连锁有限公司华府骏苑店,地址：安徽省合肥市蜀山区孔唐路与洪岗路商208号,电话：0551-66192028,
安徽国大药房连锁有限公司香榭水都店,地址：安徽省合肥市政务区习友路978号国建香榭水都26栋105室,电话：0551-65876792,
安徽国大药房连锁有限公司皖江路店,地址：安徽省合肥市包河区金悦领地6#102室,电话：0551-65573101,
安徽国大药房连锁有限公司姚公庙店,地址：安徽省合肥市姚公后街建工学院后门 ,电话：0551-63514796,
安徽国大药房连锁有限公司昊天园店,地址：安徽省合肥市新站区星火集贸市场109\/110号,电话：0551-64386882,
安徽国大药房连锁有限公司西七里塘店,地址：安徽省合肥市长江西路563号 ,电话：0551-65637580,
安徽国大药房连锁有限公司金寨路店,地址：安徽省合肥市金寨路机研所站牌处 ,电话：0551-63693509,
安徽国大药房连锁有限公司海棠花园店,地址：安徽省合肥市凤台路209号海棠花园42号楼门店 ,电话：0551-65655176,
安徽国大药房连锁有限公司桐城路店,地址：安徽省合肥市桐城南路 ,电话：0551-63643068,
安徽国大药房连锁有限公司王大郢店,地址：安徽省合肥市淝河路与铜陵路交叉口,电话：0551-63468807,
安徽国大药房连锁有限公司阜南路店,地址：安徽省合肥市阜南路32号 ,电话：0551-62645216,
安徽国大药房连锁有限公司菱水苑店,地址：安徽省合肥市水阳江路菱水苑南一栋102号 ,电话：0551-63430514,
安徽国大药房连锁有限公司包河苑店,地址：安徽省合肥市包河工业区包河苑小区A区017-018号门面房,电话：0551-65504592,
安徽国大药房连锁有限公司国际花都店,地址：安徽省合肥市政务区国际花都郁金香10-115、10-116号 ,电话：0551-63524655,
安徽国大药房连锁有限公司新华学府店,地址：安徽省合肥市蜀山区石台路美食一条街11号 ,电话：0551-65504359,
安徽国大药房连锁有限公司都市清华店,地址：安徽省合肥市临泉路与颖上路交口向北50米 ,电话：0551-65539316,
安徽国大药房连锁有限公司金地店,地址：安徽省合肥市马鞍山路金地国际城大门口 ,电话：0551-63480498,
安徽国大药房连锁有限公司香江世纪名城店,地址：安徽省合肥市临泉路合家福斜对面 ,电话：0551-64374821,
安徽国大药房连锁有限公司新亚店,地址：合肥市临泉路与站西路交口华府嘉园 ,电话：0551-64683576,
安徽国大药房连锁有限公司定远路店,地址：合肥市瑶海区龙岗开发区史城村金泰大学生创业基地研发楼一层 ,电话：0551-64474369,
先声再康江苏药业有限公司铜陵华城大药房,地址：安徽省铜陵市石城大道618号国际华城30号楼4号商铺,电话：0562-5317086,
先声再康江苏药业有限公司安庆华中东路药店,地址：安徽省安庆市华中东路店d7栋9-10门面,电话：0556-5703288,
先声再康江苏药业有限公司铜陵康富大药房,地址：安徽省铜陵市官塘二路人行后门旁,电话：无,
先声再康江苏药业有限公司安庆玉林路药店,地址：安徽省安庆市玉琳路81号,电话：0556-8761952,
先声再康江苏药业有限公司铜陵金康大药房,地址：安徽省铜陵市新光路449号,电话：0562-5317096,
先声再康江苏药业有限公司铜陵绿十字大药房,地址：安徽省铜陵市淮河大道中段446号朝阳大厦8号,电话：0562-2816078,
先声再康江苏药业有限公司安庆程墩路药店,地址：安徽省安庆市迎江区程墩路9号,电话：0556-8756116,
淮北市相山区付豪春天大药房,地址：安徽省淮北市相山区人民中路巴黎印象门面,电话：0561-3036882,
