齐齐哈尔齐泰医药红星分店,地址：黑龙江省齐齐哈尔市龙沙区民意路63号,电话：0452-2831117,
哈尔滨宝丰医药连锁有限公司振兴店,地址：黑龙江省哈尔滨市平房区建文街副10号,电话：0451-87101006,
哈尔滨宝丰医药连锁有限公司冬奥店,地址：黑龙江省哈尔滨市香坊区旭升街55号1层,电话：0451-82949568,
哈尔滨宝丰医药连锁有限公司靖宇店,地址：黑龙江省哈尔滨市香坊区香坊大街139号,电话：0451-55651502,
哈尔滨宝丰医药连锁有限公司景阳店,地址：黑龙江省哈尔滨市南岗区汉水路科技公寓小区,电话：0451-87003746,
哈尔滨宝丰医药连锁有限公司德仁店,地址：黑龙江省哈尔滨市道里区高谊街37-1号,电话：0451-84630679,
哈尔滨宝丰医药连锁有限公司安阳店,地址：黑龙江省哈尔滨市南岗区民生路与民生三道街交叉处A区商服6号门,电话：0451-87562723,
哈尔滨宝丰医药连锁有限公司大有坊店,地址：黑龙江省哈尔滨市道外区大有坊街55号,电话：0451-82460312,
哈尔滨宝丰医药连锁有限公司林大店,地址：黑龙江省哈尔滨市南岗区和兴路85号,电话：0451-87960153,
哈尔滨宝丰医药连锁有限公司和平店,地址：黑龙江省哈尔滨市道外区南直路305号,电话：0451-82460627,
哈尔滨宝丰医药连锁有限公司春辉店,地址：黑龙江省哈尔滨市松北区世纪大道1号,电话：0451-86776257,
哈尔滨宝丰医药连锁有限公司果戈里店,地址：黑龙江省哈尔滨市道里区顾乡大街20号,电话：0451-84311933,
哈尔滨宝丰医药连锁有限公司松明店,地址：黑龙江省哈尔滨市道外区南直路589号与宏图街交叉口,电话：0451-51912749,
哈尔滨宝丰医药连锁有限公司康宝店,地址：黑龙江省哈尔滨市道里区民安街201号,电话：0451-84519528,
哈尔滨宝丰医药连锁有限公司幸福店,地址：黑龙江省哈尔滨市香坊区幸福路188号,电话：0451-82110612,
哈尔滨宝丰医药连锁有限公司南马店,地址：黑龙江省哈尔滨市道外区南马路80号,电话：0451-88370557,
哈尔滨宝丰医药连锁有限公司通乡店,地址：黑龙江省哈尔滨市香坊区红旗大街38-1号通乡商场二楼,电话：0451-55627312,
哈尔滨宝丰医药连锁有限公司学府店,地址：黑龙江省哈尔滨市南岗区学府路56号哈西服装城四楼,电话：0451-86657204,
哈尔滨宝丰医药连锁有限公司六顺店,地址：黑龙江省哈尔滨市南岗区文庙街32号军工院内,电话：0451-87007010,
哈尔滨宝丰医药连锁有限公司金马店,地址：黑龙江省哈尔滨市香坊区湘江路134号,电话：0451-87917192,
哈尔滨宝丰医药连锁有限公司建国店,地址：黑龙江省哈尔滨道里区建国街112号,电话：0451-84627866,
哈尔滨宝丰医药连锁有限公司深业店,地址：黑龙江省哈尔滨市南岗区东大直街259号深业大厦一楼,电话：0451-53630951,
哈尔滨宝丰医药连锁有限公司红旗中央大街店,地址：黑龙江省哈尔滨市道里区中央大街23号,电话：0451-84650127,
哈尔滨宁德大药房有限公司,地址：黑龙江省哈尔滨市道里区钢铁67号,电话：020-87267225,
